Place	Year	Time
1	Jr   	16:02  
2	Sr   	16:15   
3	Sr   	16:27   
4	Sr   	16:39   
5	So   	16:43   
6	So   	16:45   
7	So   	16:47   
8	Sr   	16:49   
9	Jr   	16:51   
10	Jr   	16:54   
11	Sr   	16:54   
12	So   	16:56   
13	Sr   	16:56   
14	So   	16:57   
15	Jr   	16:58   
16	Sr   	17:00   
17	Fr   	17:01   
18	Sr   	17:01   
19	Fr   	17:01   
20	Fr   	17:01   
21	Jr   	17:04   
22	Fr   	17:07   
23	Fr   	17:09   
24	Sr   	17:09   
25	So   	17:10   
26	Sr   	17:10   
27	Sr   	17:14   
28	Sr   	17:15   
29	So   	17:16   
30	Jr   	17:18   
31	So   	17:20   
32	Jr   	17:22   
33	Jr   	17:23   
34	Jr   	17:25  
35	Sr   	17:26   
36	Fr   	17:27   
37	So   	17:27   
38	Jr   	17:28   
3	Sr   	17:28   
40	Jr   	17:29   
41	Sr   	17:31   
42	So   	17:31   
43	So   	17:31   
44	Sr   	17:31   
45	Sr   	17:33   
46	Sr   	17:34   
47	Fr   	17:35   
48	Sr   	17:36   
49	Jr   	17:36   
50	Sr   	17:37   
51	Sr   	17:38   
52	Jr   	17:38   
53	Sr   	17:39   
54	Sr   	17:39   
55	So   	17:41   
56	Jr   	17:42   
57	Jr   	17:42   
58	Fr   	17:44   
59	Fr   	17:44   
60	Sr   	17:45   
61	Sr   	17:46   
62	Sr   	17:46   
63	So   	17:47   
64	So   	17:48   
65	Jr   	17:48   
66	Sr   	17:48   
67	Fr   	17:48   
68	Fr   	17:49   
69	So   	17:50   
70	So   	17:51   
71	Jr   	17:52   
72	Sr   	17:52   
73	Jr   	17:53   
74	Sr   	17:53   
75	Jr   	17:54   
76	Sr   	17:55   
77	Sr   	17:55   
78	Fr   	17:55   
79	Jr   	17:55   
80	Sr   	17:56   
81	Sr   	17:56   
82	Sr   	17:56   
83	Jr   	17:57   
84	Fr   	17:57   
85	Sr   	17:58   
86	Sr   	17:59   
87	Sr   	17:59   
88	Sr   	18:00   
89	So   	18:00   
90	Sr   	18:00   
91	So   	18:01   
92	Jr   	18:02   
93	So   	18:02  
94	Jr   	18:02   
95	Fr   	18:03   
96	Sr   	18:04   
97	So   	18:05   
98	So   	18:06   
99	Jr   	18:06   
100	Jr   	18:06  
101	Fr   	18:07   
102	Sr   	18:10   
103	Jr   	18:10   
104	Sr   	18:12   
105	Sr   	18:13   
106	Sr   	18:13   
107	Jr   	18:15   
108	Sr   	18:16   
109	Jr   	18:16   
110	Jr   	18:18   
111	So   	18:19   
112	So   	18:19   
113	Jr   	18:19   
114	Fr   	18:19   
115	Sr   	18:20   
116	Sr   	18:20   
117	Jr   	18:21   
118	Jr   	18:22   
119	Jr   	18:22   
120	So   	18:22   
121	Sr   	18:22   
122	So   	18:22   
123	Fr   	18:23   
124	Fr   	18:23   
125	Fr   	18:23   
126	Fr   	18:23   
127	Jr   	18:23   
128	Sr   	18:24   
129	Jr   	18:26   
130	Fr   	18:26   
131	Sr   	18:26   
132	So   	18:27   
133	So   	18:28   
134	So   	18:28   
135	Sr   	18:28   
136	Fr   	18:28   
137	Sr   	18:28   
138	Jr   	18:29   
139	Sr   	18:29   
140	Jr   	18:29   
141	Sr   	18:31   
142	So   	18:31  
143	Sr   	18:33   
144	Fr   	18:34   
145	Jr   	18:34   
146	Jr   	18:36   
147	Jr   	18:37   
148	Sr   	18:37   
149	So   	18:39   
150	Sr   	18:39   
151	Sr   	18:40   
152	Jr   	18:42   
153	Fr   	18:42   
154	Jr   	18:43   
155	So   	18:43   
156	Jr   	18:44   
157	So   	18:45   
158	Fr   	18:45   
159	Sr   	18:46   
160	Fr   	18:47   
161	Fr   	18:47   
162	Jr   	18:48   
163	So   	18:48   
164	Jr   	18:49  
165	Sr   	18:50   
166	So   	18:51   
167	Fr   	18:51   
168	Sr   	18:52   
169	Jr   	18:52   
170	Sr   	18:53   
171	Sr   	18:53   
172	Jr   	18:54   
173	Jr   	18:54   
174	Jr   	18:54   
175	Sr   	18:55   
176	Sr   	18:55   
177	So   	18:56   
178	Sr   	18:56   
179	So   	18:58   
180	So   	18:58   
181	Jr   	18:58   
182	Jr   	19:00   
183	Sr   	19:01   
184	So   	19:02   
185	So   	19:05   
186	Sr   	19:08   
187	Sr   	19:10   
188	Sr   	19:11   
189	Sr   	19:12   
190	Jr   	19:16   
191	Fr   	19:18  
192	Jr   	19:18   
193	Fr   	19:22   
194	Jr   	19:24   
195	Jr   	19:25   
196	Fr   	19:26   
197	Jr   	19:26   
198	Jr   	19:27   
199	Sr   	19:36   
200	Jr   	19:39   
201	Jr   	19:42   
202	So   	19:47   
203	Jr   	19:47   
204	So   	19:48   
205	Sr   	19:49   
206	Jr   	19:50   
207	Fr   	19:59   
208	So   	19:59   
209	Fr   	20:13   

