Place	Year	Time
1	Jr   	16:43  
2	Fr   	16:45  
3	Sr   	17:03  
4	Jr   	17:07  
5	Fr   	17:07  
6	So   	17:13  
7	So   	17:14  
8	Fr   	17:14  
9	Jr   	17:14  
10	Jr   	17:16  
11	Sr   	17:20  
12	Jr   	17:21  
13	Fr   	17:23  
14	Sr   	17:23  
15	Sr   	17:24  
16	Jr   	17:24  
17	So   	17:25  
18	Jr   	17:25  
19	Fr   	17:26  
20	Fr   	17:26  
21	So   	17:28  
22	Jr   	17:29  
23	Sr   	17:29  
24	So   	17:32  
25	Sr   	17:34  
26	Fr   	17:40  
27	Sr   	17:45  
28	Fr   	17:46  
29	Sr   	17:46  
30	Sr   	17:46  
31	Jr   	17:48  
32	So   	17:48  
33	So   	17:49  
34	Jr   	17:50  
35	So   	17:50  
36	So   	17:51  
37	Sr   	17:52  
38	Sr   	17:54  
39	Jr   	17:55  
40	Jr   	17:56  
41	Sr   	17:56  
42	So   	17:56  
43	Fr   	17:57  
44	So   	17:58  
45	Fr   	17:58  
46	Sr   	17:58  
47	Jr   	18:02  
48	Jr   	18:02  
49	Jr   	18:03  
50	Sr   	18:04  
51	So   	18:04  
52	Sr   	18:05  
53	Fr   	18:05  
54	Jr   	18:06  
55	Sr   	18:06  
56	Fr   	18:06  
57	So   	18:06  
58	Sr   	18:07  
59	So   	18:10  
60	So   	18:10  
61	Jr   	18:10  
62	Fr   	18:12  
63	So   	18:12  
64	Jr   	18:12  
65	Sr   	18:13  
66	So   	18:13  
67	Sr   	18:13  
68	Sr   	18:14  
69	Sr   	18:15  
70	So   	18:15  
71	So   	18:16  
72	Fr   	18:16  
73	Sr   	18:18  
74	Jr   	18:18  
75	So   	18:18  
76	So   	18:18  
77	Jr   	18:19  
78	Sr   	18:19  
79	Fr   	18:20  
80	So   	18:20  
81	Jr   	18:20  
82	Fr   	18:21  
83	So   	18:21  
84	Jr   	18:22  
85	Sr   	18:23  
86	So   	18:23  
87	Sr   	18:23  
88	So   	18:23  
89	Sr   	18:24  
90	Sr   	18:25  
91	Sr   	18:25  
92	Sr   	18:25  
93	Jr   	18:26  
94	Sr   	18:26  
95	Jr   	18:26  
96	So   	18:27  
97	Jr   	18:28  
98	So   	18:28  
99	Fr   	18:28  
100	Jr   	18:30  
101	So   	18:32  
102	Fr   	18:32  
103	Jr   	18:33  
104	Jr   	18:33  
105	Sr   	18:34  
106	Sr   	18:35  
107	Sr   	18:35  
108	Jr   	18:36  
109	Fr   	18:38  
110	Jr   	18:38  
111	Sr   	18:39  
112	Jr   	18:39  
113	Sr   	18:40  
114	Jr   	18:40  
115	Sr   	18:40  
116	Jr   	18:41  
11	Jr   	18:42  
118	Fr   	18:42  
119	Fr   	18:43  
120	Sr   	18:43  
121	So   	18:43  
122	Sr   	18:43  
123	So   	18:44  
124	Jr   	18:46  
125	So   	18:47  
126	Fr   	18:47  
127	So   	18:48  
128	Sr   	18:48  
129	So   	18:48  
130	Sr   	18:49  
131	Sr   	18:49  
132	So   	18:49  
133	Jr   	18:51  
134	Fr   	18:53  
135	Jr   	18:54  
136	Sr   	18:55  
137	So   	18:55  
138	Sr   	18:55  
139	Sr   	18:55  
140	So   	18:57  
141	Fr   	18:59  
142	Sr   	18:59  
143	Fr   	18:59  
144	So   	19:00  
145	So   	19:00  
146	Sr   	19:01  
147	Fr   	19:03  
148	Sr   	19:03  
149	Fr   	19:03  
150	Jr   	19:04  
151	So   	19:05  
152	Fr   	19:06  
153	So   	19:06  
154	So   	19:07  
155	Jr   	19:07  
156	So   	19:07  
157	So   	19:08  
158	So   	19:09  
159	So   	19:11  
160	Jr   	19:11  
161	Sr   	19:12  
162	So   	19:13  
163	Fr   	19:15  
164	So   	19:18  
165	Jr   	19:18  
166	Jr   	19:19  
167	Sr   	19:20  
168	So   	19:20  
169	So   	19:20  
170	Sr   	19:21  
171	So   	19:21  
172	Jr   	19:21  
173	Sr   	19:23  
174	Jr   	19:29  
175	Jr   	19:33  
176	Fr   	19:34  
177	So   	19:35  
178	Sr   	19:37  
179	Sr   	19:42  
180	So   	19:43  
181	Jr   	19:47  
182	Sr   	19:48  
183	Sr   	19:49  
184	Jr   	19:50  
185	Jr   	19:52  
186	Fr   	19:52  
187	Fr   	19:54  
188	So   	19:56  
189	Jr   	19:58  
190	Sr   	20:03  
191	Sr   	20:05  
192	Fr   	20:06 
193	Jr   	20:06  
194	Sr   	20:07  
195	So   	20:12  
196	Sr   	20:14  
197	Fr   	20:18 
198	So   	20:19  
199	Jr   	20:21  
200	Sr   	20:22  
201	Fr   	20:24  
202	Jr   	20:25  
203	So   	20:28  
204	So   	20:38  
205	Jr   	20:46  
206	Jr   	21:07  
207	Jr   	21:53 
