Place	Grade	Time
1	So   	16:22  
2	Sr   	16:30  
3	Sr   	16:30  
4	Sr   	16:33  
5	Sr   	16:38  
6	So   	16:39  
7	Jr   	16:41  
8.	Sr   	16:44  
9	Sr   	16:54  
10	Sr   	16:58  
11	Fr   	17:01  
12	Sr   	17:03  
13	So   	17:04  
14	Sr   	17:04  
15	Sr   	17:05  
16	Jr   	17:05  
17	Fr   	17:05  
18	Sr   	17:05  
19	So   	17:08  
20	So   	17:09  
21	Fr   	17:10  
22	Jr   	17:12  
23	Sr   	17:19  
24	So   	17:23  
25	Fr   	17:24  
26	Jr   	17:27  
27	Jr   	17:31  
28	Fr   	17:31  
29	Jr   	17:35  
30	So   	17:35  
31	Jr   	17:36  
32	Jr   	17:38  
33	Sr   	17:38  
34	Sr   	17:39  
35	Jr   	17:40  
36	Jr   	17:40  
37	Sr   	17:40  
38	Fr   	17:41  
39	Jr   	17:42  
40	Sr   	17:45  
41	Sr   	17:45  
42	Sr   	17:46  
43	Jr   	17:47  
44	So   	17:47  
45	So   	17:47  
46	Fr   	17:48  
47	Sr   	17:49  
48	Jr   	17:49  
49	So   	17:49  
50	Sr   	17:49  
51	So   	17:50  
52	Jr   	17:51  
53	Fr   	17:51  
54	Jr   	17:52  
55	So   	17:52  
56	Sr   	17:52  
57	So   	17:52  
58	Fr   	17:53  
59	So   	17:53  
60	Fr   	17:53  
61	Fr   	17:53  
62	So   	17:54  
63	So   	17:54  
64	Jr   	17:55  
65	Jr   	17:55  
66	Sr   	17:55 
67	Jr   	17:55  
68	Fr   	17:56  
69	Fr   	17:56  
70	Sr   	17:57  
71	Fr   	17:58  
72	Fr   	17:58  
73	Fr   	17:59  
74	So   	17:59  
75	Fr   	17:59  
76	Jr   	18:00  
77	Jr   	18:01  
78	So   	18:01  
79	Jr   	18:01  
80	Fr   	18:03  
81	Fr   	18:04  
82	Jr   	18:04  
83	Jr   	18:04  
84	Jr   	18:05  
85	Jr   	18:06  
86	Jr   	18:06  
87	Jr   	18:06  
88	Sr   	18:07  
89	Sr   	18:08  
90	Sr   	18:08  
91	So   	18:08  
92	Fr   	18:08  
93	Jr   	18:08  
94	So   	18:09  
95	Fr   	18:09  
96	Sr   	18:09  
97	Jr   	18:10  
98	Fr   	18:10  
99	Jr   	18:11  
100	Sr   	18:11  
101	Jr   	18:11  
102	So   	18:11  
103	So   	18:13  
104	Jr   	18:13  
105	Fr   	18:15  
106	Fr   	18:15  
107	Jr   	18:16  
108	So   	18:16  
109	So   	18:17  
110	Sr   	18:17  
111	Fr   	18:18  
112	Sr   	18:19  
113	Fr   	18:19  
114	Sr   	18:19  
115	Sr   	18:19  
116	Sr   	18:19  
117	So   	18:20  
118	Fr   	18:20  
119	Sr   	18:20  
120	Sr   	18:20  
121	So   	18:21  
122	Jr   	18:22  
123	Fr   	18:22  
124	So   	18:22  
125	Fr   	18:24  
126	Jr   	18:24  
127	Sr   	18:25  
128	Jr   	18:26  
129	Jr   	18:26  
130	So   	18:26  
131	Jr   	18:27  
132	So   	18:27  
133	Sr   	18:27  
134	So   	18:28  
135	Fr   	18:28  
136	So   	18:28  
137	So   	18:28  
138	So   	18:28  
139	So   	18:29  
140	Jr   	18:29  
141	Jr   	18:29  
142	Sr   	18:30  
143	Jr   	18:31  
144	So   	18:31  
145	Sr   	18:33  
146	Sr   	18:34  
147	So   	18:34  
148	Jr   	18:34  
149	So   	18:35  
150	Sr   	18:35  
151	Sr   	18:36  
152	Sr   	18:37  
153	Fr   	18:37  
154	Sr   	18:37  
155	So   	18:37  
156	Sr   	18:38  
157	Jr   	18:40  
158	Sr   	18:41  
159	So   	18:42  
160	So   	18:42  
161	Jr   	18:43  
162	So   	18:43  
163	Sr   	18:44  
164	So   	18:44  
165	Sr   	18:46  
166	Sr   	18:46  
167	Jr   	18:46  
168	So   	18:47  
169	Jr   	18:47  
170	Fr   	18:47  
171	Fr   	18:49  
172	So   	18:51  
173	Fr   	18:51  
174	Jr   	18:51  
175	Jr   	18:51  
176	Jr   	18:51  
177	Sr   	18:52  
178	Sr   	18:54  
179	Jr   	18:59  
180	Jr   	19:01  
181	So   	19:01  
182	Jr   	19:03  
183	Jr   	19:04  
184	Sr   	19:04  
185	So   	19:04  
186	Sr   	19:05  
187	Sr   	19:07  
188	Sr   	19:09  
189	So   	19:11  
190	Sr   	19:14  
191	Sr   	19:15  
192	Jr   	19:15 
193 	So   	19:16  
194	Jr   	19:19  
195	So   	19:20  
196	Sr   	19:21  
197	Sr   	19:22  
198	Jr   	19:22  
199	Fr   	19:23  
200	Sr   	19:23  
201	Sr   	19:25  
202	Jr   	19:27  
203	Jr   	19:28  
204	Jr   	19:31  
205	So   	19:38  
206	Jr   	19:48  
207	Jr   	19:53  
208	So   	19:56  
209	Fr   	20:16  
210	Sr   	20:23  
