Place	Year	Time
1	Sr   	16:24  
2	Sr   	16:37  
3	Jr   	16:43  
4	Jr   	16:50  
5	Jr   	16:59  
6	So   	17:00  
7	Sr   	17:04  
8	Sr   	17:04  
9	Jr   	17:08  
10	Fr   	17:08 
11	Jr   	17:11  
12	Jr   	17:12  
13	Jr   	17:13  
14	Sr   	17:13  
15	So   	17:15  
16	Jr   	17:17  
17	So   	17:21  
18	Jr   	17:24  
19	Jr  	17:26  
20	Sr   	17:26  
21	Jr   	17:26  
22	Jr   	17:26  
23	Jr   	17:26  
24	Sr   	17:27  
25	Sr   	17:28  
26	Jr   	17:34  
27	Sr   	17:35  
28	Fr   	17:36  
29	Fr   	17:38  
30	Sr   	17:39  
31	Jr   	17:39  
32	Sr   	17:40  
33	Sr   	17:40  
34	Jr   	17:40  
35	So   	17:42  
36	Jr   	17:43  
37	Jr   	17:45  
38	Jr   	17:46  
39	Fr   	17:46  
40	Sr   	17:46  
41	So   	17:47  
42	Jr   	17:48  
43	Jr   	17:49  
44	Sr   	17:50  
45	Jr   	17:52  
46	Sr   	17:53  
47	Sr   	17:54  
48	So   	17:56  
49	So   	17:56  
50	Jr   	17:57  
51	So   	17:57  
52	Sr   	17:58  
53	Fr   	17:59  
54	So   	18:00  
55	Fr   	18:00  
56	So   	18:01  
57	Jr   	18:02  
58	Jr   	18:02  
59	Jr   	18:03  
60	Jr   	18:03  
61	Sr   	18:05  
62	Jr   	18:05  
63	Jr   	18:06  
64	Fr   	18:07  
65	So   	18:08  
66	Sr   	18:08  
67	Sr   	18:10  
68	Fr   	18:11  
69	Sr   	18:12  
70	Jr   	18:12  
71	Jr   	18:13  
72	Sr   	18:13  
73	Jr   	18:15  
74	Jr   	18:15  
75	Sr   	18:17  
76	Jr   	18:18  
77	Jr   	18:19  
78	Sr   	18:21  
79	Jr   	18:21  
80	Sr   	18:21  
81	So   	18:22  
82	Jr   	18:23  
83	Sr   	18:23  
84	So   	18:24  
85	Sr   	18:24  
86	Sr   	18:25  
87	Fr   	18:25  
88	Sr   	18:26  
89	Sr   	18:26  
90	Jr   	18:26  
91	Sr   	18:26  
92	So   	18:26  
93	Sr   	18:27  
94	Jr   	18:27  
95	Sr   	18:29  
96	So   	18:29  
97	Sr   	18:31  
98	Sr   	18:31  
99	Sr   	18:31  
100	Jr   	18:32  
101	So   	18:32  
102	Sr   	18:33  
103	Sr   	18:34  
104	Sr   	18:34  
105	So   	18:35  
106	Jr   	18:35  
107	Fr   	18:36  
108	Sr   	18:36  
109	So   	18:37  
110	So   	18:37  
111	Jr   	18:38  
112	Fr   	18:38  
113	Sr   	18:38  
114	So   	18:38  
115	So   	18:39  
116	So   	18:40  
117	Sr   	18:40  
118	Sr   	18:40  
119	Sr   	18:42  
120	Fr   	18:43  
121	Sr   	18:44  
122	Sr   	18:44  
123	Fr   	18:44  
124	Sr   	18:44  
125	Jr   	18:47  
126	Fr   	18:47  
127	Sr   	18:47  
128	Jr   	18:48  
129	Fr   	18:48  
130	Sr   	18:48  
131	Jr   	18:48  
132	So   	18:48  
133	Fr   	18:49  
134	So   	18:49  
135	So   	18:50  
136	Jr   	18:51  
137	Sr   	18:52  
138	Jr   	18:53  
139	Fr   	18:54  
140	Sr   	18:54  
141	So   	18:54  
142	So   	18:55  
143	Jr   	18:55  
144	Sr   	18:55  
145	Sr   	18:57  
146	Fr   	18:58  
147	Jr   	18:58  
148	Jr   	18:59  
149	So   	19:00  
150	Jr   	19:01  
151	Jr   	19:02  
152	Jr   	19:02  
153	Jr   	19:04  
154	Sr   	19:04  
155	So   	19:04  
156	Jr   	19:05  
157	Sr   	19:05  
158	Sr   	19:06  
159	Jr   	19:06  
160	Sr   	19:06  
161	So   	19:07  
162	Sr   	19:07  
163	So   	19:07  
164	Jr   	19:08  
165	So   	19:09  
166	Sr   	19:12  
167	Jr   	19:12  
168	Jr   	19:13  
169	Fr   	19:13  
170	Jr   	19:13  
171	Fr   	19:14  
172	Sr   	19:14  
173	Sr   	19:14  
174	So   	19:15  
175	So   	19:17  
176.	Jr   	19:17  
177	Sr   	19:18  
178	Fr   	19:18  
179	Fr   	19:18  
180	So   	19:21  
181	Fr   	19:22  
182	Sr   	19:22  
183	Fr   	19:23  
184	Jr   	19:23  
185	Fr   	19:24  
186	Jr   	19:25  
187	Jr   	19:25  
188	Sr   	19:27  
189	Jr   	19:27  
190	Fr   	19:28  
191	Sr   	19:30  
192	Sr   	19:31  
193	Jr   	19:32  
194	Jr   	19:32  
195	So   	19:35  
196	Fr   	19:37  
197	Fr   	19:40  
198	So   	19:43  
199	So   	19:45  
200	Sr   	19:45  
201	So   	19:45  
202	So   	19:47  
203	Sr   	19:50  
204	So   	19:52  
205	Fr   	19:52  
206	Sr   	19:53  
207	Sr   	19:54  
208	Jr   	19:56  
209	Jr   	19:59  
210	Fr   	20:01  
211	Jr   	20:04  
212	Sr   	20:10  
213	Sr   	20:11  
214	Jr   	20:11  
215	Jr   	20:23  
216	Sr   	20:25  
217	Jr   	25:46  
