Place	Year	Time
1	Fr   	16:31  
2	Jr   	16:34  
3	Jr   	16:42  
4	Sr   	16:48  
5	Sr   	16:49  
6	Jr   	16:51  
7	Jr   	16:55  
8	Jr   	16:56  
9	So   	17:01  
10	Sr   	17:03  
11	So   	17:03  
12	Jr   	17:03  
13	So   	17:04  
14	So   	17:05  
15	Sr   	17:06  
16	So   	17:10  
17	Sr   	17:12  
18	Jr   	17:14  
19	So   	17:15  
20	Sr   	17:15  
21	So   	17:17  
22	Sr   	17:18  
23	So   	17:20  
24	Sr   	17:21  
25	Sr   	17:23  
26	So   	17:23  
27	Sr   	17:23  
28	Sr   	17:24  
29	So   	17:25  
30	Jr   	17:26  
31	Jr   	17:27  
32	Jr   	17:28  
33	Jr   	17:28 
34	Sr   	17:28  
35	Sr   	17:30  
36	Sr   	17:32  
37	Sr   	17:34  
38	Fr   	17:36  
39	Sr   	17:36  
40	Sr   	17:39  
41	Jr   	17:39  
42	Jr   	17:39  
43	So   	17:40  
44	Sr   	17:41  
45	Sr   	17:41  
46	So   	17:42  
47	So   	17:43  
48	Jr   	17:43  
49	So   	17:43  
50	Sr   	17:44  
51	Sr   	17:48 
52	Fr   	17:48  
53	So   	17:50  
54	Sr   	17:51  
55	Jr   	17:52  
56	Sr   	17:52  
57	Sr   	17:53  
58	Sr   	17:53  
59	Sr   	17:54  
60	So   	17:56  
61	Sr   	17:56  
62	Jr   	17:57  
63	So   	17:57  
64	Jr   	17:58  
65	So   	18:00  
66	So   	18:00  
67	So   	18:01  
68	Jr   	18:01  
69	Sr   	18:01  
70	Jr   	18:03  
71	Jr   	18:04  
72	Fr   	18:04  
73	Fr   	18:04  
74	Jr   	18:05  
75	So   	18:05  
76	Sr   	18:05  
77	Jr   	18:06  
78	Jr   	18:08  
79	Fr   	18:09  
80	Jr   	18:09  
81	Sr   	18:10  
82	So   	18:10  
83	Jr   	18:11  
84	So   	18:11  
85	Fr   	18:11  
86	Jr   	18:13  
87	Fr   	18:14  
88	Sr   	18:16  
89	Sr   	18:16  
90	So   	18:17  
91	Jr   	18:17  
92	So   	18:18  
93	Sr   	18:19  
94	So   	18:19  
95	Jr   	18:19  
96	Jr   	18:19  
97	Fr   	18:20  
98	So   	18:20  
99	So   	18:20  
100	Fr   	18:20 
101	Jr   	18:20  
102	So   	18:23  
103	Sr   	18:24  
104	Fr   	18:25  
105	So   	18:26  
106	So   	18:27  
107	Fr   	18:27  
108	Sr   	18:27  
109	So   	18:28  
110	So   	18:28  
111	So   	18:28  
112	Jr   	18:28 
113	So   	18:29  
114	Fr   	18:29  
115	Sr   	18:29  
116	Sr   	18:30  
117	Jr   	18:30  
118	Sr   	18:31  
119	Jr   	18:31  
120	Jr   	18:32  
121	Fr   	18:32  
122	So   	18:33  
123 	Jr   	18:35  
124	Jr   	18:36  
125	Sr   	18:37  
126	So   	18:38  
127	So   	18:38  
128	Fr   	18:38  
129	Sr   	18:38  
130	Jr   	18:38  
131	So   	18:39 
132	Jr   	18:39  
133	Jr   	18:40  
134	Jr   	18:40  
135	Sr   	18:41  
136	Sr   	18:41  
137	So   	18:42  
138	Sr   	18:42  
139	Jr   	18:43  
140	Sr   	18:43  
141	So   	18:43  
142	Sr   	18:44  
143	Jr   	18:44  
144	Fr   	18:44  
145	Fr   	18:46  
146	Sr   	18:46  
147	Sr   	18:47  
148	Fr   	18:47  
149	Sr   	18:48  
150	Fr   	18:48  
151	Jr   	18:49  
152	So   	18:49  
153	Fr   	18:50  
154	Fr   	18:51  
155	Sr   	18:52  
156	So   	18:52  
157	So   	18:52  
158	Jr   	18:54  
159	Fr   	18:54  
160	Sr   	18:55  
161	Sr   	18:55  
162	So   	18:56  
163	So   	18:56  
164	So   	18:57  
165	So   	18:57  
166	So   	18:59  
167	Jr   	19:01  
168	Fr   	19:01  
169	So   	19:02  
170	So   	19:02  
171	So   	19:03  
172	So   	19:04  
173	Sr   	19:07  
174	Sr   	19:09  
175	Fr   	19:09  
176	Fr   	19:10  
177	Jr   	19:10  
178	Sr   	19:10  
179	So   	19:12  
180	Fr   	19:13  
181	So   	19:13  
182	Sr   	19:15  
183	Fr   	19:16  
184	So   	19:17  
185	Sr   	19:19  
186	Fr   	19:21  
187	Fr   	19:21  
188	Jr   	19:22  
189	Fr   	19:25  
190	Sr   	19:26  
191	Fr   	19:27  
192	Jr   	19:28  
193	Sr   	19:29  
194	Fr   	19:30  
195	Jr   	19:34  
196	Sr   	19:34  
197	Sr   	19:36  
198	Sr   	19:37  
199	Sr   	19:39  
200	Sr   	19:41  
201	Sr   	19:46  
202	Jr   	19:50  
203	Fr   	20:02  
204	So   	20:03  
205	Jr   	20:05 
206	Jr   	20:12  
207	Sr   	20:15  
208	Jr   	20:24  
209	Jr   	20:40  
210	So  	21:09  
