Place	Year	Time
1	Jr 	16:32  
2	So 	16:34  
3	Sr 	16:43  
4	Sr 	16:44  
5	So 	16:46  
6	Sr 	16:49  
7	Sr 	16:55  
8	Sr 	16:59  
9	So 	17:02  
10	So 	17:03  
11	So 	17:04  
12	So 	17:04  
13	Jr 	17:05  
14	Jr 	17:06  
15	So 	17:06  
16	So 	17:06  
17	So 	17:06  
18	Jr 	17:06  
19	Fr 	17:08  
20	So 	17:09  
21	So 	17:13  
22	Sr 	17:13  
23	So 	17:14  
24	So 	17:15  
25	Sr 	17:15  
26	Jr 	17:18  
27	So 	17:27  
28	Sr 	17:28  
29	Fr 	17:28  
30	Sr 	17:29 
31	Sr 	17:32  
32	So 	17:32  
33	Fr 	17:32  
34	Jr 	17:33  
35	So 	17:35  
36	So 	17:37  
37	Jr 	17:37 
38	Fr 	17:39 
39	Jr 	17:39  
40	Sr 	17:40  
41	Sr 	17:40  
42	So 	17:40  
43	So 	17:41  
44	Fr 	17:43 
45	Jr 	17:43  
46	Sr 	17:43  
47	So 	17:45  
48	Sr 	17:46  
49	Sr 	17:46  
50	So 	17:47 
51	Jr 	17:47  
52	Sr 	17:48  
53	Sr 	17:49 
54	Jr 	17:49  
55	Jr 	17:50  
56	Jr 	17:51  
57	Sr 	17:51  
58	So 	17:52  
59	Jr 	17:52  
60	Jr 	17:53  
61	Fr 	17:53  
62	Jr 	17:53  
63	Jr 	17:55  
64	Sr 	17:56  
65	So	17:56  
66	Sr	17:57  
67	Sr	17:57  
68	Sr	17:57  
69	Sr	17:58  
70	Fr	17:58  
71	Fr	17:58  
72	Jr	18:00  
73	So	18:01  
74	Sr	18:01  
75	Sr	18:01  
76	Fr	18:01  
77	So	18:02  
78.	So	18:02 
79	Jr 	18:02  
80	So 	18:04  
81	Jr 	18:05  
82	Sr 	18:05  
83	Jr 	18:06  
84	Sr 	18:06  
85	Sr 	18:07  
86	Fr 	18:09  
87	Fr 	18:10  
88	Jr 	18:10  
89	Jr 	18:11  
90	So 	18:12  
91	Sr 	18:12  
92	Sr 	18:13  
93	Jr 	18:13  
94	Jr 	18:14  
95	So 	18:14  
96	Sr 	18:15  
97	Sr 	18:15  
98	Jr 	18:16  
99	Jr 	18:16  
100	Fr 	18:19  
101	Sr 	18:19  
102	Jr 	18:19  
103	So 	18:20  
104	Sr 	18:20  
105	Sr 	18:21  
106	So 	18:21  
107	So 	18:23  
108	Jr 	18:24  
109	Jr 	18:24  
110	Jr 	18:24  
111	So 	18:24  
112	So 	18:25  
113	Jr 	18:26  
114	Sr 	18:26  
115	So 	18:27  
116	So 	18:27  
117	Jr 	18:28  
118	Jr 	18:28  
119	Jr 	18:28  
120	So 	18:29  
121	Sr 	18:29  
122	Fr 	18:29  
123	So	18:30  
124	Jr	18:30  
125	Sr 	18:31  
126	Jr 	18:32  
127	So 	18:32  
128	Fr 	18:32  
129	So 	18:33  
130	Jr 	18:34  
131	Sr 	18:34  
132	So 	18:35  
133	Sr 	18:35  
134	Jr 	18:36  
135	Fr 	18:37  
136	Sr 	18:37  
137	Sr 	18:37  
138	Jr 	18:38  
139	Fr 	18:38  
140	So 	18:38  
141.	So 	18:38  
142	Sr 	18:39 
143	Jr 	18:39  
144	Jr 	18:39  
145	Jr 	18:40  
146	Sr 	18:40  
147	Sr 	18:41  
148	Sr 	18:41  
149	Fr 	18:41  
150	Fr 	18:43  
151	So 	18:43  
152	Sr 	18:44  
153	Sr 	18:46  
154	Jr 	18:46  
155	Sr 	18:47  
156	Fr 	18:48  
157	Fr 	18:50  
158	Sr 	18:51  
159	Jr 	18:51  
160	Fr 	18:52  
161	So 	18:53  
162	Sr 	18:54  
163	So 	18:55  
164	Jr 	18:55  
165	Jr 	18:56  
166	Sr 	18:56  
167	So 	18:57  
168	Sr 	18:58  
169	Jr 	18:59  
170	Fr 	18:59  
171	Jr 	19:00  
172	So 	19:02  
173	Fr 	19:02  
174	Sr 	19:02  
175	Jr 	19:04  
176	Fr 	19:04  
177	Sr 	19:07  
178	Jr 	19:09  
179	Jr 	19:09  
180	Fr 	19:10  
181	Jr 	19:11  
182	So 	19:14  
183	Jr 	19:16  
184	So 	19:21  
185	So 	19:22  
186	Sr 	19:24  
187	Sr 	19:24  
188	Jr 	19:28  
189	Fr 	19:29  
190	Jr 	19:31  
191	Sr 	19:31  
192	Jr 	19:32  
193	Sr 	19:37  
194	So 	19:38  
195	Fr 	19:39  
196	Sr 	19:40  
197	Sr 	19:43  
198	So 	19:46  
199	Sr 	19:49  
200	Sr 	19:52  
201	Fr 	19:59  
202	Jr 	20:10  
203	Fr 	20:18  
204	Sr 	20:20  
205	So 	20:22  
206	So 	20:27  
207	Sr 	20:33  
208	Sr 	22:04  
