Place	Year	Time
1	Sr	16:54
2	So	17:07  
3	Sr	17:08   
4 	So	17:10   
5	So	17:12   
6	Sr	17:17  
7	Sr	17:20   
8	So	17:23   
9	So	17:24   
10	Jr	17:25   
11	Jr	17:26   
12	Jr	17:28   
13	Jr	17:28   
14	So	17:28   
15	Fr	17:30   
16	Jr	17:31   
17	Jr	17:33   
18	Jr	17:35   
19	Jr	17:36   
20	Jr	17:36   
21	Jr	17:38   
22	Sr	17:39   
23	Sr	17:39   
24	Jr	17:40   
25	Jr	17:40   
26	So	17:42   
27	Jr	17:47   
28	Jr	17:48   
29	So	17:50   
30	So	17:51   
31	So	17:52   
32	Sr	17:55   
33	Jr	17:56   
34	Sr	17:57   
35	Jr	17:59   
36	So	18:00   
37	So	18:00   
38	Fr	18:00   
39	Jr	18:01   
40	Jr	18:01   
41	Sr	18:01   
42	Fr	18:01   
43	So	18:02   
44	Fr	18:02   
45	Sr	18:02   
46	Jr	18:03   
47	So	18:04  
48	Sr	18:04   
49	Sr	18:05   
50	Fr	18:06   
51	Jr	18:07   
52	Sr	18:07   
53	Sr	18:08   
54	So	18:08   
55	Fr	18:08   
56	Fr	18:09   
57	Sr	18:10   
58	Jr	18:10   
59	Fr	18:10   
60	So	18:11   
61	Jr	18:11   
62	Sr	18:12   
63	Jr	18:12   
64	Sr	18:12   
65	So	18:12   
66	Fr	18:12   
67	Jr	18:12   
68	Fr	18:12  
69	So	18:12   
70	Jr	18:12   
71	Fr	18:13   
72	Jr	18:14   
73	Jr	18:14   
74	Jr	18:14   
75	Jr	18:15   
76	Sr	18:15   
77	Jr	18:16   
78	Sr	18:17   
79	Fr	18:18   
80	Jr	18:18   
81	So	18:18   
82	So	18:18   
83	Sr	18:19   
84	Sr	18:19   
85	Jr	18:19   
86	So	18:21   
87	Jr	18:21   
88	So	18:23   
89	Sr	18:23   
90	Sr	18:23   
91	Jr	18:24   
92	So	18:25   
93	Sr	18:25   
94	Jr	18:25   
95	Sr	18:25   
96	Fr	18:27   
97	Sr	18:28   
98	Jr	18:28   
99	Sr	18:29   
100	Sr	18:30   
101	Sr	18:31   
102	Fr	18:33   
103	Fr	18:33   
104	So	18:34   
105	So	18:36   
106	Fr	18:37   
107	Sr	18:37   
108	Jr	18:38   
109	Sr	18:38   
110	Sr	18:38  
111	Jr	18:38   
112	Sr	18:39   
113	Jr	18:39   
114	Sr	18:39   
115	Jr	18:40   
116	Sr	18:41   
117	Sr	18:41   
118	Jr	18:43   
119	So	18:43   
120	Sr	18:43   
121	Sr	18:43  
122	Jr	18:44   
123	Fr	18:45   
124	So	18:45   
125	Sr	18:47   
126	So	18:49   
127	Jr	18:49   
128	Fr	18:50   
129	Fr	18:50   
130	So	18:52   
131	So	18:52   
132	Sr	18:53   
133	Fr	18:53   
134	So	18:53   
135	Jr	18:54   
136	Jr	18:54   
137	Fr	18:55  
138	So	18:56   
139	So	18:56   
140	Jr	18:57   
141	Sr	18:57   
142	Sr	18:57   
143	Fr	18:58   
144	Jr	18:58   
145	Sr	18:59   
146	Fr	18:59   
147	Jr	18:59   
148	Sr	19:00   
149	Fr	19:01   
150	So	19:01   
151	Jr	19:01   
152	Fr	19:03   
153	Jr	19:05   
154	Sr	19:05   
155	Fr	19:05   
156	So	19:08   
157	Fr	19:12   
158	Fr	19:15   
159	So	19:15   
160	Sr	19:17   
161	Jr	19:17   
162	Jr	19:18   
163	Sr	19:18   
164	So	19:18   
165	Sr	19:19   
166	Jr	19:19   
167	So	19:19   
168	Sr	19:19   
169	Jr	19:20   
170	Jr	19:22   
171	Jr	19:24   
172	Fr	19:25   
173	Fr	19:26   
174	So	19:29   
175	Sr	19:30   
176	So	19:32   
177	Fr	19:33   
178	Sr	19:34   
179	Sr	19:34   
180	Jr	19:36   
181	So	19:36   
182	Sr	19:37   
183	Fr	19:41   
184	Sr	19:41   
185	Jr	19:42   
186	So	19:43   
187	Jr	19:45   
188	Jr	19:45   
189	Fr	19:46   
190	Jr	19:47   
191	Fr	19:47   
192	Jr	19:50   
193	Sr	19:55   
194	Jr	19:56   
195	Sr	19:56   
196	Fr	20:00   
197	Sr	20:05   
198	So	20:05   
199	Sr	20:06   
200	Sr	20:08   
201	Fr	20:13   
202	Jr	20:23   
203	So	20:26   
204	Sr	20:27   
205	So	20:36   
206	Jr	20:43   
207	Jr	20:43   
208	Sr	20:45   
209	Jr	21:06   
210	Sr	21:57   


