Place	Year	Time
1	Jr   	16:23  
2	Sr   	16:48  
3	Jr   	16:55  
4	So   	16:59  
5	Fr   	17:00  
6	So   	17:01  
7	Sr   	17:04  
8	Sr   	17:05  
9	Jr   	17:06  
10	So   	17:06  
11	Jr   	17:07  
12	Sr   	17:08  
13	Fr   	17:09  
14	So   	17:09  
15	So   	17:11  
16	Sr   	17:13  
17	Jr   	17:14  
18	Sr   	17:16  
19	So   	17:16  
20	Fr   	17:17  
21	Jr   	17:18  
22	Sr   	17:18  
23	Sr   	17:19  
24	So   	17:19  
25	Sr   	17:21  
26	Sr   	17:22  
27	So   	17:26  
28	Jr   	17:29  
29	Fr   	17:31  
30	Fr   	17:31  
31	Sr   	17:32  
32	Jr   	17:32  
33	Sr   	17:35  
34	Sr   	17:36  
35	Jr   	17:36  
36	Fr   	17:36  
37	Sr   	17:37  
38	Sr   	17:37  
39	So   	17:38  
40	Sr   	17:38  
41	Jr   	17:40  
42	Sr   	17:40  
43	So   	17:43  
44	So   	17:43  
45	Jr   	17:43  
46	Jr   	17:45  
47	Sr   	17:45  
48	Jr   	17:46  
49	Jr   	17:47  
50	Sr   	17:48  
51	So   	17:48  
52	So   	17:49  
53	Jr   	17:50  
54	Sr   	17:52  
55	Sr   	17:52  
56	So   	17:52  
57	Sr   	17:52  
58	Fr   	17:53  
59	Jr   	17:53  
60	Jr   	17:54  
61	So   	17:56  
62	So   	17:56  
63	Fr   	17:56  
64	Fr   	17:56  
65	So   	17:57  
66	Fr   	17:57  
67	Jr   	17:57  
68	Fr   	17:58  
69	So   	17:58  
70	Sr   	17:58  
71	Sr   	17:58  
72	So   	17:59  
73	Sr   	18:00  
74	So   	18:00  
75	Jr   	18:01  
76	Jr   	18:01  
77	Fr   	18:03  
78	Sr   	18:04  
79	So   	18:04  
80	Jr   	18:04  
81	Jr   	18:04  
82	Fr   	18:04  
83	Jr   	18:05  
84	Jr   	18:05  
85	So   	18:05  
86	Sr   	18:06  
87	Sr   	18:06  
88	Sr   	18:07  
89	Jr   	18:08  
90	So   	18:09  
91	So   	18:09  
92	So   	18:10  
93	Fr   	18:10  
94	So   	18:11 
95	Sr   	18:11  
96	Sr   	18:11  
97	Jr   	18:12  
98	So   	18:13  
99	Sr   	18:13  
100	Fr   	18:13  
101	Fr   	18:13  
102	Jr   	18:13  
103	Sr   	18:13  
104	Sr   	18:14  
105	Sr   	18:15  
106	Fr   	18:15  
107	Jr   	18:15  
108	Sr   	18:16  
109	Jr   	18:16  
110	Jr   	18:16  
111	So   	18:17  
112	Jr   	18:17  
113	Sr   	18:17  
114	So   	18:17  
115	Fr   	18:17  
116	Sr   	18:19  
117	Jr   	18:20  
118	Fr   	18:21  
119	Fr   	18:21  
120	So   	18:22  
121	Sr   	18:22  
122	Jr   	18:23  
123	So   	18:24  
124	So   	18:24  
125	Jr   	18:25  
126	Fr   	18:25  
127	Sr   	18:26  
128	Sr   	18:26  
129	Fr   	18:27  
130	Sr   	18:28  
131	Fr   	18:29  
132	Sr   	18:29  
133	Fr   	18:30  
134	Sr   	18:30  
135	Sr   	18:31  
136	Fr   	18:34  
137	Sr   	18:34  
138	Jr   	18:34  
139	Jr   	18:36  
140	Fr   	18:37  
141	Sr   	18:37  
142	Sr   	18:37  
143	Jr   	18:38  
144	Jr   	18:39  
145	Jr   	18:39  
146	Sr   	18:40  
147	So   	18:40  
148	Fr   	18:41  
149	Jr   	18:41  
150	Jr   	18:41  
151	Fr   	18:41  
152	Fr   	18:42  
153	So   	18:43  
154	So   	18:45  
155	Fr   	18:46  
156	Jr   	18:46  
157	Sr   	18:46  
158	Jr   	18:48  
159	Jr   	18:49  
160	Jr   	18:50  
161	So   	18:51  
162	Sr   	18:52  
163	So   	18:54  
164	Sr   	18:55  
165	Fr   	18:56  
166	Fr   	18:57  
167	Fr   	18:59  
168	Jr   	19:00  
169	Jr   	19:00  
170	Sr   	19:05  
171	Jr   	19:07  
172	Jr   	19:07  
173	So   	19:08  
174	Jr   	19:08  
175	Jr   	19:10  
176	Jr   	19:11  
177	Jr   	19:16  
178	Sr   	19:17  
179	Fr   	19:18  
180	Fr   	19:19  
181	Sr   	19:20  
182	Sr   	19:20  
183	So   	19:21  
184	Sr   	19:23  
185	Fr   	19:25  
186	So   	19:26  
187	Sr   	19:28  
188	Sr   	19:33  
189	Fr   	19:37  
190	Sr   	19:38  
191	Sr   	19:39  
192	So   	19:44  
193	Fr   	19:44  
194	Fr   	19:44  
195	Fr   	19:45  
196	Sr   	19:47  
197	Fr   	19:47  
198	Sr   	19:49  
199	Jr   	19:56  
200	Sr   	19:57  
201	Fr   	19:57  
202	Jr   	20:03  
203	Sr   	20:08  
204	So   	20:13  
205	Sr   	20:17  
206	So   	20:20  
207	Fr   	20:20  
208	Jr   	20:22  
209	Jr   	20:29  
