Place	Year	Time
1	Sr   	15:54  
2	So   	16:16   
3	Jr   	16:34  
4	Jr   	16:36   
5	So   	16:43   
6	So   	16:44   
7	Sr   	16:46  
8	So   	16:49   
9	Sr   	16:53   
10	So   	16:53   
11	So   	16:53   
12	Sr   	16:54   
13	So   	16:54   
14	Sr   	16:55   
15	Jr   	16:56   
16	So   	16:57   
17	Sr   	16:58   
18	Fr   	16:58   
19	So   	16:59   
20	Jr   	17:03   
21	So   	17:03   
22	Jr   	17:04   
23	Jr   	17:05   
24	Sr   	17:13   
25	Sr   	17:16   
26	Fr   	17:17     
27	Jr   	17:18     
28	So   	17:23     
29	Jr   	17:24    
30	Sr   	17:26     
31	So   	17:27     
32	So   	17:29     
33	So   	17:29     
34	Sr   	17:29     
35	Jr   	17:31     
36	Jr   	17:32     
37	Sr   	17:34     
38	Sr   	17:34    
39	Fr   	17:36     
40	Sr   	17:37     
41	Jr   	17:37     
42	Jr   	17:37     
43	Jr   	17:37     
44	So   	17:38     
45	Sr   	17:38     
46	Fr   	17:39     
47	Sr   	17:39     
48	So   	17:39     
49	Fr   	17:39    
50	Sr   	17:40    
51	Jr   	17:41    
52	Fr   	17:42    
53	Sr   	17:42    
54	So   	17:42    
55	Jr   	17:44    
56	Sr   	17:44    
57	Sr   	17:45    
58	Fr   	17:45    
59	Jr   	17:46    
60	Sr   	17:47    
61	Jr   	17:47    
62	Jr   	17:49   
63	Sr   	17:49    
64	Fr   	17:50    
65	Jr   	17:50    
66	Fr   	17:51    
67	Sr   	17:51   
68	Fr   	17:51    
69	So   	17:53    
70	Jr   	17:55    
71	Jr   	17:55   
72	Sr   	17:56    
73	Fr   	17:56    
74	So   	17:57    
75	Jr   	17:57    
76	Fr   	17:57    
77	Jr   	17:59    
78	Sr   	17:59   
79	Jr   	18:00    
80	Jr   	18:02    
81	Sr   	18:02    
82	Sr   	18:02    
83	Sr   	18:03    
84	So   	18:03    
85	Fr   	18:04    
86	Jr   	18:04    
87	Sr   	18:04    
88	Jr   	18:05    
89	Jr   	18:05    
90	So   	18:06    
91	Fr   	18:06    
92	Jr   	18:07    
93	Sr   	18:07    
94	Sr   	18:08    
95	So   	18:09     
96	Fr   	18:09     
97	Sr   	18:09     
98	Fr   	18:10     
99	So   	18:11     
100	Jr   	18:11     
101	So   	18:12     
102	So   	18:12     
103	Jr   	18:13     
104	Sr   	18:14     
105	Jr   	18:15     
106	Fr   	18:16     
107	Jr   	18:16     
108	Sr   	18:16     
109	Jr   	18:17     
110	Sr   	18:17     
111	Jr   	18:17     
112	So   	18:18     
113	Sr   	18:18     
114	So   	18:19     
115	So   	18:20     
116	So   	18:20     
117	Fr   	18:20     
118	Fr   	18:21     
119	So   	18:21    
120	Jr   	18:21    
121	Fr   	18:21    
122	Sr   	18:22    
123	Jr   	18:23    
124	Sr   	18:24    
125	Jr   	18:25    
126	Sr   	18:26    
127	Jr   	18:26    
128	Fr   	18:26    
129	Jr   	18:27    
130	Sr   	18:27    
131	So   	18:28    
132	Jr   	18:30    
133	Sr   	18:30    
134	Jr   	18:30    
135	Fr   	18:31    
136	So   	18:32    
137	Fr   	18:32    
138	Sr   	18:32    
139	Jr   	18:33    
140	Fr   	18:34    
141	Sr   	18:34    
142	Sr   	18:35    
143	Sr   	18:35    
144	Jr   	18:36    
145	Sr   	18:37    
146	So   	18:37    
147	Fr   	18:37    
148	So   	18:37    
149	Jr   	18:38    
150	Sr   	18:39    
151	Fr   	18:39    
152	Sr   	18:40    
153	Fr   	18:40    
154	Jr   	18:40    
155	So   	18:41    
156	Fr   	18:41    
157	So   	18:41    
158	Jr   	18:43    
159	Sr   	18:44    
160	Sr   	18:44    
161	Sr   	18:44    
162	Sr   	18:45   
163	So   	18:46    
164	Sr   	18:47    
165	Sr   	18:47    
166	So   	18:48    
167	Jr   	18:48   
168	Sr   	18:48   
169	Sr   	18:49    
170	So   	18:49    
171	Sr   	18:49    
172	Sr   	18:50    
173	Jr   	18:51    
174	Sr   	18:51    
175	So   	18:52    
176	Fr   	18:52    
177	Fr   	18:52    
178	Fr   	18:54    
179	Jr   	18:55    
180	Jr   	18:55    
181	So   	18:56    
182	So   	18:57    
183	Fr   	18:57    
184	So   	18:57    
185	So   	18:58    
186	So   	18:59    
187	Jr   	19:00    
188	Fr   	19:00    
189	Jr   	19:02    
190	Fr   	19:03    
191	Jr   	19:03    
192	So   	19:04    
193	Sr   	19:04    
194	Sr   	19:06    
195	Sr   	19:10    
196	Fr   	19:12    
197	Fr   	19:15    
198	Sr   	19:17    
199	Sr   	19:18    
200	Jr   	19:21    
201	Jr   	19:22    
202	Fr   	19:22    
203	Sr   	19:23    
204	So   	19:27    
205	Jr   	19:29    
206	Sr   	19:33    
207	So   	19:43    
208	Fr   	19:46    
209	Sr   	19:47    
210	So   	19:59    
211	Sr   	20:04    
212	Sr   	20:12    
213	Fr   	20:19   
214	Jr   	20:21    
215	Jr   	20:42    
216	Jr   	21:14    
217	Sr   	22:00    
